date,year,month,incorporation_by_company_split_all_companies,corporate_reorganization_all_companies,dissolution_by_merger_all_companies,incorporation_by_merger_all_companies,completion_of_liquidation_all_companies,special_liquidation_all_companies,capital_increase_by_company_split_all_companies,capital_decrease_by_company_split_all_companies,bankruptcy_or_civil_rehabilitation_all_companies,registrations_total_all_companies,dissolution_all_companies,incorporation_all_companies,incorporation_by_company_split_kabushiki,corporate_reorganization_kabushiki,dissolution_by_merger_kabushiki,incorporation_by_merger_kabushiki,completion_of_liquidation_kabushiki,special_liquidation_kabushiki,capital_increase_by_company_split_kabushiki,capital_decrease_by_company_split_kabushiki,bankruptcy_or_civil_rehabilitation_kabushiki,registrations_total_kabushiki,dissolution_kabushiki,incorporation_kabushiki,incorporation_by_company_split_tokurei_yugen,corporate_reorganization_tokurei_yugen,dissolution_by_merger_tokurei_yugen,incorporation_by_merger_tokurei_yugen,completion_of_liquidation_tokurei_yugen,special_liquidation_tokurei_yugen,capital_increase_by_company_split_tokurei_yugen,capital_decrease_by_company_split_tokurei_yugen,bankruptcy_or_civil_rehabilitation_tokurei_yugen,registrations_total_tokurei_yugen,dissolution_tokurei_yugen,incorporation_tokurei_yugen,incorporation_by_company_split_gomei,corporate_reorganization_gomei,dissolution_by_merger_gomei,incorporation_by_merger_gomei,completion_of_liquidation_gomei,special_liquidation_gomei,capital_increase_by_company_split_gomei,capital_decrease_by_company_split_gomei,bankruptcy_or_civil_rehabilitation_gomei,registrations_total_gomei,dissolution_gomei,incorporation_gomei,incorporation_by_company_split_goshi,corporate_reorganization_goshi,dissolution_by_merger_goshi,incorporation_by_merger_goshi,completion_of_liquidation_goshi,special_liquidation_goshi,capital_increase_by_company_split_goshi,capital_decrease_by_company_split_goshi,bankruptcy_or_civil_rehabilitation_goshi,registrations_total_goshi,dissolution_goshi,incorporation_goshi,incorporation_by_company_split_godo,corporate_reorganization_godo,dissolution_by_merger_godo,incorporation_by_merger_godo,completion_of_liquidation_godo,special_liquidation_godo,capital_increase_by_company_split_godo,capital_decrease_by_company_split_godo,bankruptcy_or_civil_rehabilitation_godo,registrations_total_godo,dissolution_godo,incorporation_godo
2009-01-01,2009,1,100,25,539,1,2508,62,9,4,1926,95427,3857,6686,100,21,445,1,966,62,9,3,1188,69655,1418,6201,,4,87,,1432,,,1,727,24049,2271,,0,,2,0,4,,,,3,85,15,2,0,,4,0,63,,,,8,578,82,42,0,,1,0,43,,0,0,0,1060,71,441
2009-02-01,2009,2,90,36,294,1,2433,54,5,2,1926,87203,3208,6675,90,33,235,1,1004,54,5,2,1215,62819,1277,6218,,3,56,,1305,,,0,699,22776,1816,,0,,0,0,12,,,,1,57,6,2,0,,2,0,75,,,,7,490,52,20,0,,1,0,37,,0,0,4,1061,57,435
2009-03-01,2009,3,95,32,378,0,2487,82,7,0,2256,100601,3493,7191,95,27,289,0,1057,82,7,0,1417,74849,1413,6673,,5,85,,1310,,,0,827,23992,1949,,0,,0,0,13,,,,1,82,7,6,0,,1,0,50,,,,8,533,63,25,0,,3,0,57,,0,0,3,1145,61,487
2009-04-01,2009,4,181,35,1141,5,3129,93,22,2,1961,126100,5350,9084,179,34,998,5,1248,93,22,2,1265,94721,2248,8475,,1,138,,1785,,,0,681,29435,2936,,0,,0,0,6,,,,1,101,17,1,0,,4,0,58,,,,11,558,78,24,2,,1,0,32,,0,0,3,1285,71,584
2009-05-01,2009,5,84,17,262,3,2374,58,7,1,1815,94706,3492,6672,84,15,202,3,957,58,7,0,1152,70515,1380,6228,,2,58,,1319,,,1,648,22602,1998,,0,,0,0,6,,,,3,70,5,5,0,,2,0,43,,,,12,455,64,18,0,,0,0,49,,0,0,0,1064,45,421
2009-06-01,2009,6,119,28,299,0,3283,62,7,1,2263,145664,4272,7672,119,27,227,0,1235,62,7,1,1407,116012,1684,7152,,1,70,,1910,,,0,842,27745,2431,,0,,0,0,14,,,,1,108,11,3,0,,2,0,81,,,,11,530,62,17,0,,0,0,43,,0,0,2,1269,84,500
2009-07-01,2009,7,118,26,596,0,3362,45,11,6,2107,148728,4569,8246,118,21,497,0,1340,45,10,6,1276,119115,1881,7659,,5,96,,1888,,,0,824,27614,2519,,0,,0,0,10,,,,2,96,8,2,0,,1,0,68,,,,4,562,79,32,0,,2,0,56,,1,0,1,1341,82,553
2009-08-01,2009,8,98,16,305,0,3057,58,4,1,1827,95687,3471,6454,98,14,222,0,1199,58,4,1,1112,71910,1434,5968,,2,78,,1746,,,0,700,22266,1945,,0,,0,0,10,,,,2,86,4,2,0,,5,0,47,,,,8,454,57,22,0,,0,0,55,,0,0,5,971,31,462
2009-09-01,2009,9,104,13,347,5,3229,44,9,0,1744,95663,3547,6631,104,13,258,5,1312,44,9,0,1092,71064,1429,6161,,0,88,,1807,,,0,644,22979,1997,,0,,1,0,5,,,,0,91,16,2,0,,0,0,65,,,,7,452,53,19,0,,0,0,40,,0,0,1,1077,52,449
2009-10-01,2009,10,153,13,701,0,3386,63,13,2,2096,108322,4051,7488,153,11,581,0,1405,63,13,1,1279,81717,1688,6931,,2,116,,1851,,,1,797,24735,2226,,0,,0,0,7,,,,2,105,10,3,0,,3,0,52,,,,15,535,55,44,0,,1,0,71,,0,0,3,1230,72,510
2009-11-01,2009,11,92,25,218,0,2951,47,5,2,1949,90350,3104,6325,90,22,172,0,1168,47,5,2,1237,67402,1274,5841,,3,44,,1690,,,0,701,21405,1728,,0,,0,0,3,,,,1,75,10,2,0,,2,0,41,,,,8,392,42,32,2,,0,0,49,,0,0,2,1076,50,450
2009-12-01,2009,12,95,21,282,1,3736,55,6,1,1981,100844,3265,6892,95,16,206,1,1518,55,6,1,1231,76552,1346,6395,,5,69,,2095,,,0,735,22632,1817,,0,,0,0,17,,,,0,103,17,1,0,,5,0,58,,,,13,500,49,17,0,,2,0,48,,0,0,2,1057,36,479
2010-01-01,2010,1,74,18,496,0,2432,55,6,0,1940,83946,3514,6766,74,16,409,0,1018,55,6,0,1213,61527,1409,6238,,2,84,,1313,,,0,713,20635,1961,,0,,0,0,8,,,,3,94,14,1,0,,2,0,48,,,,9,489,55,22,0,,1,0,45,,0,0,2,1201,75,505
2010-02-01,2010,2,128,14,265,0,2373,51,9,0,1809,81448,2847,7173,127,14,206,0,988,51,9,0,1125,59367,1180,6607,,0,59,,1297,,,0,669,20389,1546,,0,,0,0,9,,,,0,89,12,5,0,,0,0,37,,,,12,401,40,23,1,,0,0,42,,0,0,3,1202,69,538
2010-03-01,2010,3,115,19,333,0,2638,76,14,4,2323,96250,3169,8084,115,18,263,0,1148,76,14,4,1455,71790,1331,7184,,1,69,,1371,,,0,844,22296,1712,,0,,0,0,9,,,,2,85,10,4,0,,1,0,46,,,,19,480,62,14,0,,0,0,64,,0,0,3,1599,54,882
2010-04-01,2010,4,169,18,1015,4,3136,71,31,2,1807,118571,5059,9442,169,17,899,4,1301,71,31,2,1146,89653,2181,8709,,1,114,,1711,,,0,651,26838,2714,,0,,0,0,13,,,,1,105,10,4,0,,2,0,57,,,,5,541,80,27,0,,0,0,54,,0,0,4,1434,74,702
2010-05-01,2010,5,95,18,238,0,2279,49,3,2,1618,89757,3192,6991,95,18,170,0,960,49,3,1,997,67276,1273,6476,,0,66,,1238,,,1,611,20905,1811,,0,,0,0,6,,,,2,72,11,2,0,,2,0,34,,,,6,383,52,12,0,,0,0,41,,0,0,2,1121,45,501
2010-06-01,2010,6,111,14,315,0,3164,55,5,2,1952,132518,3920,7465,111,14,238,0,1201,55,5,1,1204,105816,1609,6886,,0,70,,1842,,,1,739,24935,2182,,0,,1,0,16,,,,0,100,10,2,0,,3,0,51,,,,6,412,53,14,0,,3,0,54,,0,0,3,1255,66,563
2010-07-01,2010,7,120,21,498,0,3146,44,9,1,1928,133176,4286,7644,120,19,407,0,1268,44,9,0,1184,106693,1840,7009,,2,86,,1760,,,1,732,24600,2310,,0,,1,0,11,,,,2,82,12,0,0,,1,0,47,,,,9,446,52,14,0,,3,0,60,,0,0,1,1355,72,621
2010-08-01,2010,8,92,13,296,0,2949,56,7,0,1779,94204,3726,6401,92,13,215,0,1230,56,7,0,1079,70780,1527,5857,,0,76,,1624,,,0,686,21691,2068,,0,,2,0,14,,,,1,95,12,2,0,,1,0,32,,,,11,419,58,13,0,,2,0,49,,0,0,2,1219,61,529
2010-09-01,2010,9,143,17,326,1,3499,67,5,3,1874,97347,4858,6891,142,17,234,1,1448,67,5,2,1186,72269,2118,6354,,0,86,,1938,,,1,679,23283,2584,,0,,0,0,9,,,,0,86,15,1,0,,5,0,54,,,,6,466,71,13,1,,1,0,50,,0,0,3,1243,70,523
2010-10-01,2010,10,175,19,628,0,3257,69,15,1,1788,99526,5047,7451,175,19,531,0,1372,69,15,1,1083,74728,2269,6772,,0,90,,1781,,,0,690,22805,2602,,0,,0,0,8,,,,3,106,14,3,0,,3,0,49,,,,12,519,80,24,0,,4,0,47,,0,0,0,1368,82,652
2010-11-01,2010,11,139,9,276,0,2999,61,8,0,1905,88651,2809,6475,139,9,205,0,1226,61,8,0,1164,66768,1186,5901,,0,64,,1666,,,0,730,20032,1525,,0,,0,0,6,,,,1,70,6,3,0,,2,0,53,,,,6,413,40,14,0,,5,0,48,,0,0,4,1368,52,557
2010-12-01,2010,12,348,16,328,0,3750,44,16,1,1719,93697,2708,7133,348,16,223,0,1523,44,16,1,1095,71280,1174,6542,,0,101,,2101,,,0,612,20451,1406,,0,,1,0,8,,,,0,98,6,2,0,,1,0,48,,,,10,497,47,9,0,,2,0,70,,0,0,2,1371,75,580
2011-01-01,2011,1,97,13,396,0,2424,69,7,0,1874,79335,3050,7157,96,13,310,0,1075,69,7,0,1157,58989,1269,6485,,0,80,,1245,,,0,704,18536,1675,,0,,0,0,7,,,,1,76,8,4,0,,1,0,41,,,,11,415,44,16,1,,5,0,56,,0,0,1,1319,54,652
2011-02-01,2011,2,86,14,315,0,2176,73,3,1,1667,76449,2557,6520,86,14,247,0,953,73,3,1,1032,56240,1096,5865,,0,61,,1130,,,0,621,18390,1356,,0,,0,0,7,,,,1,60,4,4,0,,0,0,32,,,,11,403,41,11,0,,7,0,54,,0,0,2,1356,60,640
2011-03-01,2011,3,112,14,352,0,2308,85,3,0,2071,90723,2856,7399,112,13,279,0,1086,85,3,0,1220,69113,1211,6643,,1,68,,1118,,,0,831,19569,1515,,0,,0,0,4,,,,0,64,6,0,0,,1,0,46,,,,17,441,50,16,0,,4,0,54,,0,0,3,1536,74,740
2011-04-01,2011,4,139,14,936,1,2725,58,10,1,1657,107787,4163,8623,139,14,839,1,1183,58,10,1,1025,82997,1806,7761,,0,93,,1449,,,0,623,22661,2208,,0,,1,0,10,,,,0,89,8,0,0,,3,0,36,,,,8,413,57,19,0,,0,0,47,,0,0,1,1627,84,843
2011-05-01,2011,5,73,14,204,0,2088,44,3,0,1585,89910,2985,6673,73,13,145,0,866,44,3,0,1006,68861,1257,5961,,1,49,,1123,,,0,570,19062,1622,,0,,1,0,5,,,,0,73,8,5,0,,1,0,44,,,,7,400,40,19,0,,8,0,50,,0,0,2,1514,58,688
2011-06-01,2011,6,107,12,264,0,2719,46,4,1,1882,132820,3346,7778,107,11,192,0,1133,46,4,1,1142,107899,1421,6971,,1,71,,1465,,,0,727,22877,1807,,0,,0,0,7,,,,2,87,14,3,0,,1,0,53,,,,8,422,45,23,0,,0,0,61,,0,0,3,1535,59,781
2011-07-01,2011,7,101,9,359,0,2711,41,8,0,1666,125073,3540,7839,101,8,282,0,1163,41,8,0,1044,102034,1525,7000,,1,69,,1453,,,0,605,20907,1907,,0,,1,0,10,,,,1,81,5,2,0,,0,0,42,,,,12,403,41,15,0,,7,0,43,,0,0,4,1648,62,822
2011-08-01,2011,8,104,20,243,0,2884,31,6,3,1667,98043,3265,7167,104,19,180,0,1230,31,6,3,1029,75406,1435,6424,,1,62,,1545,,,0,627,20514,1708,,0,,0,0,12,,,,2,85,8,3,0,,1,0,42,,,,7,462,51,17,0,,0,0,55,,0,0,2,1576,63,723
2011-09-01,2011,9,109,10,437,1,2892,46,4,2,1622,92650,3060,7240,109,9,370,1,1245,46,4,2,1038,70741,1283,6405,,1,65,,1541,,,0,577,19828,1644,,0,,0,0,3,,,,0,69,6,3,0,,1,0,44,,,,6,447,50,44,0,,1,0,59,,0,0,1,1565,77,788
