貸出債権市場取引動向,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,シンジケート・ローン,,,,,,,,,貸出債権の流動化実績,,,,,,,,,,,,,,,,（参考）シンジケート・ローン組成実績の株式「上場・公開企業」、「非公開企業」別の内訳,,,,,,,,,,,,（参考）正常債権の流動化実績における指名債権譲渡先別の内訳,,,
単位　件、億円,組成実績,,,,,,期末残高,,,正常債権,,,,,,,,不良債権,,,,,,,,組成件数,,,,組成金額,,,,期末残高,,,,件数,,金額,
期中または期末,組成件数,,,組成金額,,,,,,件数,,,,金額,,,,件数,,,,金額,,,,タームローン,,コミットメントライン,,タームローン,,コミットメントライン,,タームローン,,コミットメントライン,,金融機関向け,ＳＰＣ向け,金融機関向け,ＳＰＣ向け
,,タームローン,コミットメントライン,,タームローン,コミットメントライン,,タームローン,コミットメントライン,,指名債権譲渡,信託方式,ローン・パーティシペーション,,指名債権譲渡,信託方式,ローン・パーティシペーション,,指名債権譲渡,信託方式,ローン・パーティシペーション,,指名債権譲渡,信託方式,ローン・パーティシペーション,上場・公開企業,非公開企業,上場・公開企業,非公開企業,上場・公開企業,非公開企業,上場・公開企業,非公開企業,上場・公開企業,非公開企業,上場・公開企業,非公開企業,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans Syndicated and Loans Transferred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Loans Syndicated (Primary),,,,,,,,, Loans Transferred (Secondary),,,,,,,,,,,,,,,,（Memo） Loans Syndicated: by Public/Listed and Private Companies,,,,,,,,,,,, （Memo）Performing Loans Transferred (Sold): by Parties Transferred to (Flow),,,
"Number of cases, 100 million yen",Flow,,,,,,Amount Outstanding,,, Performing Loans Transferred,,,,,,,, Nonperforming Loans Transferred,,,,,,,,Number of Deals (Flow),,,,Amount (Flow),,,,Amount Outstanding,,,,Number of Transactions,,Amount,
During or End of  Quarter,Number of Deals,,,Amount,,,,,,Total of the Number of Transactions,,,,Total of the Amount,,,,Total of the Number of Transactions,,,,Total of the Amount,,,,Term Loans,,Commitment Lines,,Term Loans,,Commitment Lines,,Term Loans,,Commitment Lines,,To Financial Institutions,To SPCs,To Financial Institutions,To SPCs
,,Term Loans,Commitment Lines,,Term Loans,Commitment Lines,,Term Loans,Commitment Lines,,Sale,Trust Method,Loan Participation,,Sale,Trust Method,Loan Participation,,Sale,Trust Method,Loan Participation,,Sale,Trust Method,Loan Participation,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,,,,
2003.Ⅱ,170,81,89,"32,538","7,521","25,017",,,,786,65,147,574,"14,731",965,"4,991","8,775",156,155,0,1,"3,336","3,259",0,77,39,42,73,16,"5,437","2,084","23,441","1,576",,,,,65,0,965,0
2003.Ⅲ,601,373,228,"46,004","19,305","26,699",,,,970,112,115,743,"26,602","6,001","5,956","14,645",685,683,2,0,"11,753","11,731",22,0,147,226,172,56,"10,637","8,668","21,528","5,171",,,,,81,30,"1,329","4,318"
2003.Ⅳ,236,123,113,"36,689","11,149","25,540",,,,477,84,78,315,"10,120","1,922","3,082","5,116",239,239,0,0,"10,147","10,147",0,0,35,88,80,33,"4,634","6,515","21,749","3,791",,,,,79,2,"1,180",736
2004.Ⅰ,930,568,362,"75,110","34,096","41,014",,,,777,224,154,399,"15,548","3,777","4,393","7,378","1,090","1,086",4,0,"16,074","15,355",719,0,171,397,243,119,"18,574","15,522","31,904","9,110",,,,,202,21,"2,223","1,552"
2004.Ⅱ,219,118,101,"28,586","5,995","22,591",,,,209,56,36,117,"3,433","1,337",341,"1,755",195,195,0,0,"2,353","2,353",0,0,22,96,71,30,"1,782","4,213","20,412","2,179",,,,,49,6,"1,263",71
2004.Ⅲ,827,513,314,"56,604","22,948","33,656","243,268","119,396","123,872",507,215,79,213,"12,852","5,200","3,155","4,497","1,250","1,241",2,7,"11,899","11,460",163,276,125,388,194,120,"9,692","13,256","23,454","10,202","61,826","57,570","100,414","23,458",194,16,"3,526","1,652"
2004.Ⅳ,417,273,144,"36,556","12,902","23,654","251,029","128,829","122,200",226,120,34,72,"4,740","2,495",975,"1,270",249,249,0,0,"7,517","7,517",0,0,61,212,93,51,"4,062","8,840","19,052","4,602","64,107","64,722","98,680","23,520",100,20,"1,933",563
2005.Ⅰ,"1,158",704,454,"94,670","39,660","55,010","289,329","148,767","140,562",561,364,47,150,"12,054","5,390","3,413","3,251",913,909,3,1,"20,303","19,908",132,263,184,520,259,195,"20,447","19,213","45,500","9,510","73,884","74,883","114,100","26,462",317,35,"4,548",783
2005.Ⅱ,264,168,96,"38,654","14,559","24,095","304,378","162,506","141,872",181,80,44,57,"4,478","1,535","1,542","1,401",195,194,1,0,"2,589","2,558",31,0,45,123,69,27,"4,279","10,280","21,532","2,563","78,378","84,128","115,417","26,455",75,5,"1,271",264
2005.Ⅲ,"1,142",721,421,"83,540","43,756","39,784","331,612","186,256","145,356",478,367,44,67,"10,479","5,618","3,236","1,625","1,053","1,048",2,3,"7,657","7,342",143,172,178,543,223,198,"12,051","31,705","26,932","12,852","81,860","104,396","115,270","30,086",359,2,"5,523",50
2005.Ⅳ,410,245,165,"40,253","13,079","27,174","342,893","193,564","149,329",196,134,11,51,"3,231","2,152",78,"1,001",345,343,2,0,"3,102","3,038",64,0,52,193,82,83,"5,249","7,830","17,571","9,603","86,314","107,250","118,424","30,905",126,1,"2,093",7
2006.Ⅰ,"1,263",837,426,"96,564","41,471","55,093","374,225","211,866","162,359",456,347,38,71,"10,181","4,505","4,200","1,476","1,339","1,333",1,5,"16,205","16,097",33,75,165,672,218,208,"14,146","27,325","44,592","10,501","92,920","118,946","128,513","33,846",333,2,"4,187",40
2006.Ⅱ,349,236,113,"55,804","29,755","26,049","401,832","235,979","165,853",202,183,3,16,"2,066","1,770",17,279,138,138,0,0,"1,038","1,038",0,0,75,161,72,41,"7,498","22,257","22,806","3,243","101,597","134,382","131,474","34,379",177,0,"1,606",0
2006.Ⅲ,"1,091",675,416,"64,204","33,620","30,584","418,622","248,224","170,398",316,209,53,54,"6,117","4,220",730,"1,167",690,674,15,1,"5,107","5,038",2,67,177,498,193,223,"12,324","21,296","23,222","7,362","105,330","142,894","134,321","36,077",202,6,"3,447",688
2006.Ⅳ,473,313,160,"51,907","31,955","19,952","433,097","264,967","168,130",250,195,18,37,"4,643","3,419",450,774,282,281,1,0,"1,082","1,077",5,0,88,225,89,71,"10,731","21,224","16,175","3,777","112,502","152,465","135,046","33,084",189,1,"3,347",50
2007.Ⅰ,"1,170",739,431,"102,763","43,894","58,869","454,435","268,999","185,436",737,582,15,140,"14,483","7,393","1,690","5,400","1,075","1,074",0,1,"11,289","11,236",0,53,181,558,213,218,"14,009","29,885","50,975","7,894","112,144","156,855","148,770","36,666",557,1,"7,205",49
2007.Ⅱ,292,178,114,"41,443","18,009","23,434","467,412","280,879","186,533",200,159,9,32,"3,398","2,219",485,694,160,160,0,0,"1,007","1,007",0,0,54,124,74,40,"3,685","14,324","20,891","2,543","116,033","164,846","151,464","35,069",156,0,"2,202",0
2007.Ⅲ,918,546,372,"63,321","33,000","30,321","483,176","293,773","189,403",633,445,16,172,"13,684","6,168",673,"6,843",854,854,0,0,"4,343","4,343",0,0,163,383,173,199,"14,199","18,801","23,165","7,156","124,198","169,575","154,666","34,737",438,0,"6,128",0
